id,man_id,model_name,is_car,is_moto,is_spec
11230,774,AB 220,False,False,True
11234,774,AB 340,False,False,True
11238,774,AB 500,False,False,True
11242,774,AB 600,False,False,True
4853,362,AC 100-4L,False,False,True
5920,182,AC 15,False,False,True
4856,362,AC 160-5,False,False,True
5921,182,AC 20,False,False,True
4854,362,AC 220-5,False,False,True
5922,182,AC 30,False,False,True
12995,1003,AC 35,False,False,True
12939,1003,AC 40,False,False,True
4857,362,AC 55-3,False,False,True
12991,1003,AC 60,False,False,True
4855,362,AC 60-3,False,False,True
11646,838,AC155,False,False,True
11654,838,AC205,False,False,True
11658,838,AC265,False,False,True
5200,131,AC60,False,False,True
11650,838,AC80,False,False,True
2025,13,Acadia,True,False,False
185,7,Acadiane,True,False,False
391,16,Accent,True,False,False
344,14,Accord,True,False,False
18861,317,Accord,False,False,True
6994,136,ACE 150,False,True,False
3682,212,Ace Of Spades,False,True,False
10162,682,Acma,False,False,True
4862,363,Acron TX16,False,False,True
4863,363,Acron TX17,False,False,True
11550,14,Activa 100 cc,False,True,False
4972,14,Activa I,False,True,False
1653,14,Acty Truck,False,False,True
4356,14,Acty Van,True,False,True
1311,64,Actyon,True,False,False
12242,954,AD,False,False,True
14993,71,AD30,False,False,True
14997,71,AD45,False,False,True
15001,71,AD63,False,False,True
879,31,Admiral,True,False,False
6303,376,Admiral,True,False,False
2028,30,Advan,True,False,False
3940,141,Adventurer 900,False,True,False
11510,66,AE45,False,False,True
6436,146,Aeolus A60,True,False,False
6435,146,Aeolus A9,True,False,False
6430,146,Aeolus AX3,True,False,False
6431,146,Aeolus AX4,True,False,False
6433,146,Aeolus AX7,True,False,False
6437,146,Aeolus E70,True,False,False
6434,146,Aeolus EX1EV,True,False,False
6440,146,Aeolus H30,True,False,False
6438,146,Aeolus YIXUAN,True,False,False
6439,146,Aeolus YIXUAN GS,True,False,False
1054,40,Aerio,True,False,False
3601,293,Aero,False,True,False
9723,59,Aerox,False,True,False
19275,1275,AF,False,False,True
7421,210,AF-33,False,False,True
2306,107,AF1 125,False,True,False
2307,107,AF1 50,False,True,False
6192,380,AFE6-E200,False,True,False
3583,291,AGB-21,False,True,False
3584,291,AGB-27,False,True,False
3585,291,AGB-28,False,True,False
3586,291,AGB-29,False,True,False
3587,291,AGB-30A,False,True,False
3592,291,AGB-31,False,True,False
3591,291,AGB-35A,False,True,False
880,31,Agila,True,False,False
4338,275,Agility,False,True,False
5903,154,AGROPLUS F KEYLINR,False,False,True
12138,950,AHT 6,False,False,True
775,29,Airtrek,True,False,False
1647,14,Airwave,True,False,False
7997,489,Aito M5,True,False,False
18181,489,Aito M9,True,False,False
6403,275,AK 550,False,True,False
5577,67,AKO 18,False,False,True
4576,348,AKUMA,False,True,False
11730,854,AL 95,False,False,True
2528,139,Alazzurra 350,False,True,False
2529,139,Alazzurra 650,False,True,False
279,11,Albea,True,False,False
123,5,Alero,True,False,False
3721,313,Alfa,False,True,False
14,1,Alfasud,True,False,False
15,1,Alfetta,True,False,False
1015,37,Alhambra,True,False,False
110,4,Allante,True,False,False
1902,41,Allex,True,False,False
1078,41,Allion,True,False,False
37,2,Allroad,True,False,False
826,30,Almera,True,False,False
2656,248,Alpha,False,True,False
2952,260,Alpha,False,True,False
3513,285,Alpha,False,True,False
3567,290,Alpha,False,True,False
3625,297,Alpha,False,True,False
4043,329,Alpha,False,True,False
2254,215,Alpha 110,False,True,False
2255,215,Alpha 50,False,True,False
1762,41,Alphard,True,False,False
7737,8,Alpheon,True,False,False
12715,161,Alsvin,True,False,False
4868,363,Altano TDX21,False,False,True
4866,363,Altano TX17,False,False,True
4867,363,Altano TX18,False,False,True
1936,37,Altea,True,False,False
1079,41,Altezza,True,False,False
827,30,Altima,True,False,False
232,9,Altis,True,False,False
1055,40,Alto,True,False,False
13647,194,Am,False,True,False
17037,1117,AM 20,False,False,True
5249,126,AM 74,False,True,False
3602,293,Amagi,False,True,False
1708,42,Amarok,True,False,False
3941,141,America,False,True,False
186,7,AMI,True,False,False
1476,17,Amigo,True,False,False
2160,31,Ampera,True,False,False
17041,1117,AMX 10,False,False,True
18873,62,Andecar C350 ,False,False,True
2178,80,Andere,True,False,False
2222,207,Andere,True,False,False
12214,954,ANT 30,False,False,True
1649,31,Antara,True,False,False
12014,922,ANZEK,False,False,True
12158,954,AP,False,False,True
